startTime,End Time,Day,Name,Address,Location,Location Notes,Meeting Types,Meeting Notes,Group
7:00 AM,8:00 AM,Monday,Staten Island Foggy Bottoms Group,"945 Post Ave, Staten Island, NY 10302, USA",Jaywalker Club,Entrance left side,"Closed, Discussion, Location Temporarily Closed",,
10:00 AM,11:00 AM,Monday,Steps to the Stars,"5371 Amboy Rd, Staten Island, NY 10312, USA",Our Lady Star of the Sea,Entrance left side,12 Steps & 12 Traditions,NO PASSWORD REQUIRED,Steps to the Stars
10:00 AM,11:00 AM,Monday,New Day Group,"225 St Pauls Ave, Staten Island, NY 10304, USA",St. Paul's Episcopal Church,,12 Steps & 12 Traditions,,New Day Group
11:00 AM,12:00 AM,Monday,Staten Island Foggy Bottoms Group,"945 Post Ave, Staten Island, NY 10302, USA",Jaywalker Club,Entrance left side,"Discussion, Open",,Staten Island Foggy Bottoms Group
1:00 PM,2:00 PM,Monday,Afternoon Discussion,"1657 Victory Blvd, Staten Island, NY 10314, USA",Castleton Hill Moravian Church,,"Discussion, ",,
4:00 PM,5:00 PM,Monday,H.O.P.E. Group,"7033 Amboy Rd, Staten Island, NY 10307, USA",Bethel United Methodist Church,,Discussion,PASSWORD: freedom,H.O.P.E. Group
4:00 PM,5:00 PM,Monday,4 O'Clock Lounge Group,"1657 Victory Blvd, Staten Island, NY 10314, USA",Castleton Hill Moravian Church,,"12 Steps & 12 Traditions, Wheelchair Access",,4 O'Clock Lounge Group
5:30 PM,6:30 PM,Monday,Staten Island Foggy Bottom Group,"945 Post Ave, Staten Island, NY 10302, USA",Jaywalker Club,Entrance left side,"Closed, Discussion, ",,
7:30 PM,8:30 PM,Monday,Primary Purpose,"96 McClean Ave, Staten Island, NY 10305, USA",,Entrance left side,"Discussion, Newcomer",,Primary Purpose
7:30 PM,8:30 PM,Monday,Great Kills Group,"121 Cleveland Ave, Staten Island, NY 10308, USA",Christ Lutheran Church,,"Discussion, Newcomer",PASSWORD: freedom,Great Kills Group
7:30 PM,8:30 PM,Monday,Midland Beach Big Book,"539 Greeley Ave, Staten Island, NY 10306, USA",Oasis Church,,"Big Book, Discussion, Open",RESUMING MEETING ON JULY 27TH,Midland Beach Big Book
7:30 PM,8:30 PM,Monday,Another Alternative,"42 Austin Pl, Staten Island, NY 10304, USA",Our Lady Of Good Counsel School,"In Driveway and 2 lefts, basement cafeteria",Discussion,PASSWORD REQUIRED: Contact a group member,Another Alternative
